Country,Infant mortality rate,Neonatal deaths,Under-5 mortality rate
Afghanistan,56,50,34
Albania,9,8,7
Algeria,22,20,15
Andorra,3,2,1
Angola,64,38,26
Anguilla,6,5,3
Antigua and Barbuda,9,7,5
Argentina,10,8,5
Armenia,10,9,5
Australia,4,3,2
Austria,3,3,2
Azerbaijan,19,13,13
Bahamas,13,11,9
Bahrain,9,7,4
Bangladesh,31,24,18
Barbados,10,9,7
Belarus,2,2,1
Belgium,4,3,2
Belize,13,11,9
Benin,78,46,28
Bhutan,23,19,13
Bolivia (Plurinational State of),23,20,12
Bosnia and Herzegovina,6,5,5
Botswana,40,38,21
Brazil,14,12,8
British Virgin Islands,13,12,7
Brunei Darussalam,9,8,5
Bulgaria,6,5,3
Burkina Faso,77,45,24
Burundi,49,31,20
Cabo Verde,12,11,8
Cambodia,23,20,12
Cameroon,67,41,25
Canada,5,4,3
Central African Republic,92,60,31
Chad,101,59,31
Chile,7,6,5
China,6,4,3
Colombia,12,11,7
Comoros,40,36,23
Congo,41,28,18
Cook Islands,14,12,7
Costa Rica,10,9,7
Côte d'Ivoire,67,47,28
Croatia,5,4,3
Cuba,8,7,4
Cyprus,4,3,2
Czechia,3,2,1
Democratic People's Republic of Korea,18,15,10
Democratic Republic of the Congo,73,44,25
Denmark,3,3,2
Djibouti,50,44,28
Dominica,35,33,31
Dominican Republic,31,28,22
Ecuador,13,11,7
Egypt,18,16,9
El Salvador,10,9,4
Equatorial Guinea,71,49,27
Eritrea,35,26,16
Estonia,2,2,1
Eswatini,45,44,24
Ethiopia,46,36,27
Fiji,29,24,15
Finland,2,2,1
France,4,3,3
Gabon,33,26,17
Gambia,44,34,24
Georgia,9,8,5
Germany,4,3,2
Ghana,37,28,21
Greece,4,3,2
Grenada,18,17,12
Guatemala,21,18,10
Guinea,95,62,30
Guinea-Bissau,69,43,33
Guyana,26,24,16
Haiti,55,40,23
Holy See,-,-,-
Honduras,16,13,9
Hungary,4,3,2
Iceland,3,2,1
India,28,24,17
Indonesia,21,17,11
Iran (Islamic Republic of),12,11,7
Iraq,23,21,13
Ireland,4,3,3
Israel,3,3,2
Italy,3,2,2
Jamaica,19,18,15
Japan,2,2,1
Jordan,13,12,8
Kazakhstan,10,8,4
Kenya,40,35,22
Kiribati,55,40,22
Kosovo (UNSCR 1244),-,-,-
Kuwait,9,8,5
Kyrgyzstan,17,15,11
Lao People's Democratic Republic,39,35,20
Latvia,3,3,2
Lebanon,18,16,11
Lesotho,59,55,29
Liberia,73,53,30
Libya,31,16,6
Liechtenstein,-,-,-
Lithuania,3,3,2
Luxembourg,2,2,2
Madagascar,65,44,24
Malawi,38,29,19
Malaysia,8,7,4
Maldives,6,5,4
Mali,91,58,32
Malta,5,5,4
Marshall Islands,28,24,13
Mauritania,38,31,21
Mauritius,15,14,9
Mexico,12,11,8
Micronesia (Federated States of),23,21,12
Monaco,3,2,1
Mongolia,14,11,7
Montenegro,3,2,1
Montserrat,6,6,3
Morocco,17,15,10
Mozambique,62,45,25
Myanmar,39,34,21
Namibia,41,38,24
Nauru,9,8,5
Nepal,26,23,17
Netherlands (Kingdom of the),4,3,3
New Zealand,5,4,3
Nicaragua,13,11,7
Niger,115,67,34
Nigeria,105,60,34
Niue,24,23,13
North Macedonia,3,3,1
Norway,2,2,1
Oman,10,8,5
Pakistan,58,50,38
Palau,22,19,12
Panama,13,11,7
Papua New Guinea,40,32,21
Paraguay,17,15,9
Peru,16,14,8
Philippines,27,22,14
Poland,4,4,2
Portugal,3,3,2
Qatar,6,5,4
Republic of Korea,3,2,1
Republic of Moldova,15,13,11
Romania,7,5,3
Russian Federation,4,4,2
Rwanda,40,30,18
Saint Kitts and Nevis,16,14,10
Saint Lucia,16,14,10
Saint Vincent and the Grenadines,11,10,6
Samoa,16,13,6
San Marino,1,1,1
Sao Tome and Principe,14,9,7
Saudi Arabia,6,5,3
Senegal,39,30,22
Serbia,5,4,3
Seychelles,14,13,9
Sierra Leone,94,56,29
Singapore,2,2,1
Slovakia,6,5,3
Slovenia,2,2,1
Solomon Islands,21,17,8
Somalia,104,68,35
South Africa,35,24,12
South Sudan,99,73,40
Spain,3,3,2
Sri Lanka,6,5,4
State of Palestine,26,14,9
Sudan,50,39,25
Suriname,16,15,10
Sweden,2,2,1
Switzerland,4,3,3
Syrian Arab Republic,21,19,10
Tajikistan,27,23,13
Thailand,9,8,5
Timor-Leste,50,36,22
Togo,58,36,23
Tokelau,-,-,-
Tonga,10,8,4
Trinidad and Tobago,19,17,13
Tunisia,13,11,8
Türkiye,13,9,5
Turkmenistan,40,31,23
Turks and Caicos Islands,6,4,3
Tuvalu,20,17,9
Uganda,39,28,18
Ukraine,8,8,5
United Arab Emirates,5,4,2
United Kingdom,4,4,3
United Republic of Tanzania,39,30,21
United States,6,5,3
Uruguay,7,6,4
Uzbekistan,13,13,8
Vanuatu,17,14,9
Venezuela (Bolivarian Republic of),24,21,15
Viet Nam,20,14,10
Yemen,39,35,21
Zambia,45,31,22
Zimbabwe,44,41,22