Country,antenatal_care_4plus_%,Neonatal deaths,gdp_per_capita_USD,female_upper_secondary_education_%,female_labour_force_participation_%,gdp_percentile,Exclusive breastfeeding (<6 months) (%),Early initiation of breastfeeding (%),Continued breastfeeding (12–23 months) (%)All children,Poorest 20%,Richest 20%,Infant mortality rate,Total,Under 5
Afghanistan,33,50,353,6,16,1.04,63,48,68,74,66,56,"42,647","6,778"
Albania,78,8,8368,46,53,55.44,37,57,43,38,37,9,"2,792",142
Algeria,70,20,5260,25,17,41.97,29,33,37,36,43,22,"46,814","4,633"
Andorra,,2,46545,60,,87.56,-,-,-,-,-,3,82,3
Angola,61,38,2310,15,75,25.39,33,53,67,74,53,64,"37,886","6,350"
Anguilla,,5,,,,,-,-,-,-,-,6,15,1
Antigua and Barbuda,100,7,21560,,,73.06,-,-,-,-,-,9,94,5
Argentina,90,8,13731,36,51,65.8,32,58,53,53,41,10,"45,696","2,603"
Armenia,96,9,8716,95,61,56.99,45,41,29,32,24,10,"2,974",176
Australia,92,3,64712,81,63,94.3,-,-,20,-,-,4,"26,713","1,536"
Austria,,3,56506,77,57,93.26,-,-,-,-,-,3,"9,121",415
Azerbaijan,91,13,7155,91,63,50.78,18,14,28,34,18,19,"10,337",655
The Bahamas,85,11,34750,82,70,84.97,-,-,-,-,-,13,401,22
Bahrain,100,7,29084,73,45,79.79,-,-,-,-,-,9,"1,607",95
Bangladesh,38,24,2529,29,36,27.46,53,37,90,91,89,31,"173,562","16,694"
Barbados,88,9,22673,25,62,75.65,20,40,41,-,-,10,282,16
Belarus,100,2,7829,94,65,53.37,22,24,17,11,20,2,"9,057",374
Belgium,,3,53475,74,51,91.19,-,-,-,-,-,4,"11,739",566
Belize,93,11,7988,46,50,53.89,33,68,47,59,37,13,417,35
Benin,53,46,1435,3,74,16.06,45,25,69,81,56,78,"14,463","2,201"
Bhutan,87,19,3704,42,57,33.68,69,82,87,86,87,23,792,49
Bolivia,86,20,3701,48,73,33.16,56,80,50,74,53,23,"12,413","1,253"
Bosnia and Herzegovina,84,5,8426,63,42,56.48,18,42,12,17,10,6,"3,164",127
Botswana,73,38,7250,44,65,51.81,30,53,15,-,-,40,"2,521",297
Brazil,94,12,10044,56,53,59.07,46,62,44,50,32,14,"211,999","13,096"
British Virgin Islands,,12,,21,,,-,-,-,-,-,13,39,2
Brunei,93,8,33431,68,54,83.42,-,-,-,-,-,9,463,31
Bulgaria,,5,15798,68,50,68.39,-,-,-,-,-,6,"6,758",307
Burkina Faso,72,45,874,3,42,8.29,51,60,81,87,70,77,"23,549","3,360"
Burundi,49,31,200,4,78,0.52,83,89,87,92,84,49,"14,048","2,187"
Cape Verde,86,11,4322,20,53,37.82,42,71,42,-,-,12,525,36
Cambodia,86,20,1875,8,74,20.73,50,54,40,58,20,23,"17,639","1,800"
Cameroon,65,41,1674,10,58,19.17,39,48,43,65,12,67,"29,124","4,444"
Canada,99,4,53372,90,60,90.67,-,-,-,-,-,5,"39,742","1,882"
Central African Republic,41,60,445,3,65,2.59,36,63,73,74,52,92,"5,331",989
Chad,31,59,719,2,64,6.74,7,47,71,73,64,101,"20,299","3,688"
Chile,,6,17093,66,52,69.43,-,-,-,-,-,7,"19,765",938
China,93,4,12614,30,61,63.73,35,29,22,-,-,6,"1,419,321","51,958"
Colombia,90,11,6980,57,52,49.74,37,69,42,49,36,12,"52,886","3,549"
Comoros,64,36,1587,19,47,16.58,23,17,59,53,60,40,867,115
Republic of the Congo,79,28,2509,14,68,26.94,33,25,32,54,20,41,"6,333",897
Cook Islands,,12,,,,,-,-,-,-,-,14,14,1
Costa Rica,94,9,16595,42,44,68.91,25,53,46,47,40,10,"5,130",271
Côte d'Ivoire,56,47,2729,8,59,29.02,34,42,59,76,40,67,"31,934","4,637"
Croatia,97,4,21460,75,47,72.54,24,-,-,-,-,5,"3,875",166
Cuba,79,7,9500,56,41,58.55,41,64,25,35,23,8,"10,980",488
Cyprus,,3,34701,77,61,84.46,-,-,-,-,-,4,"1,358",74
Czech Republic,,2,30427,88,52,80.83,-,-,-,-,-,3,"10,736",518
North Korea,94,15,,74,74,,71,43,-,-,-,18,"26,499","1,704"
Dem. Rep. Congo,43,44,649,16,60,5.7,52,53,71,82,48,73,"109,276","19,793"
Denmark,,3,67967,77,60,94.82,-,-,-,-,-,3,"5,977",306
Djibouti,23,44,3606,10,51,32.12,12,52,-,-,-,50,"1,169",115
Dominica,,33,8954,10,,57.51,-,-,-,-,-,35,66,4
Dominican Republic,93,28,10716,48,53,60.62,16,42,22,30,14,31,"11,428",993
Ecuador,89,11,6533,45,53,47.67,40,49,52,55,51,13,"18,135","1,375"
Egypt,90,16,3513,47,15,31.61,40,33,57,58,43,18,"116,538","11,781"
El Salvador,90,9,5344,34,49,42.49,45,34,67,71,57,10,"6,338",492
Equatorial Guinea,67,49,7067,,55,50.26,7,-,31,47,34,71,"1,893",256
Eritrea,57,26,,,72,,69,93,86,-,-,35,"3,536",468
Estonia,97,2,29824,88,62,80.31,-,-,-,-,-,2,"1,361",63
eSwatini,74,44,3797,15,47,34.72,54,47,34,27,42,45,"1,243",141
Ethiopia,43,36,1294,3,58,13.99,59,72,81,69,77,46,"132,060","19,391"
Fiji,89,24,5868,26,38,45.08,43,63,46,53,32,29,929,82
Finland,,2,53756,83,59,91.71,-,-,-,-,-,2,"5,617",234
France,99,3,44461,72,53,87.05,-,-,-,-,-,4,"66,549","3,355"
Gabon,78,26,8420,,43,55.96,19,70,17,23,11,33,"2,539",332
The Gambia,79,34,844,24,45,7.77,54,36,74,77,68,44,"2,760",388
Georgia,84,8,8120,92,55,54.4,20,33,25,29,20,9,"3,808",233
Germany,99,3,52746,78,56,89.64,-,-,-,-,-,4,"84,552","3,830"
Ghana,88,28,2238,11,62,24.35,53,58,67,82,52,37,"34,427","4,250"
Greece,,3,22990,67,45,76.17,-,-,-,-,-,4,"10,048",376
Grenada,,17,10464,53,,60.1,-,-,-,-,-,18,117,7
Guatemala,86,18,5798,22,52,44.56,59,53,66,85,48,21,"18,406","1,858"
Guinea,58,62,1664,24,63,18.65,44,26,78,84,57,95,"14,755","2,220"
Guinea-Bissau,81,43,914,12,60,9.84,59,46,75,80,55,69,"2,201",300
Guyana,85,24,20626,36,43,72.02,29,46,52,68,33,26,831,82
Haiti,67,40,1693,9,64,19.69,40,48,56,59,43,55,"11,773","1,230"
Holy See,,-,,,,,-,-,-,-,-,-,0,0
Honduras,88,13,3247,28,40,30.05,30,51,52,63,37,16,"10,826","1,143"
Hungary,,3,22147,80,54,74.09,-,-,-,-,-,4,"9,676",455
Iceland,,2,78811,79,70,95.34,-,-,-,-,-,3,393,23
India,58,24,2485,26,35,25.91,64,41,80,87,71,28,"1,450,936","113,658"
Indonesia,77,17,4941,37,53,40.93,51,58,65,70,59,21,"283,488","22,223"
Iran,93,11,4503,43,18,39.38,47,81,-,-,-,12,"91,568","6,014"
Iraq,68,21,5512,17,11,43.52,26,32,35,47,33,23,"46,042","5,610"
Ireland,,3,103685,81,60,98.45,-,-,-,-,-,4,"5,255",287
Israel,,3,52262,85,58,89.12,-,-,-,-,-,3,"9,387",871
Italy,68,2,38373,53,42,86.53,-,-,-,-,-,3,"59,343","2,027"
Jamaica,84,18,6874,,61,49.22,33,65,43,43,46,19,"2,839",163
Japan,,2,33834,84,54,83.94,-,-,-,-,-,2,"123,753","4,013"
Jordan,93,12,4482,41,14,38.86,24,34,24,32,19,13,"11,553","1,154"
Kazakhstan,95,8,13137,97,63,65.28,38,83,41,40,45,10,"20,593","2,113"
Kenya,66,35,1950,33,63,21.24,60,60,65,72,58,40,"56,433","7,110"
Kiribati,67,40,2090,48,39,22.8,64,46,61,70,53,55,135,16
Kosovo (UNSCR 1244),94,-,5943,,,45.6,-,-,-,-,-,-,"1,685",100
Kuwait,,8,37533,39,50,85.49,-,-,-,-,-,9,"4,935",265
Kyrgyzstan,94,15,1970,64,44,21.76,44,73,51,53,48,17,"7,186",768
Laos,72,35,2075,20,61,22.28,50,45,37,61,14,39,"7,770",792
Latvia,,3,23184,89,56,76.68,-,-,-,-,-,3,"1,872",82
Lebanon,,16,3824,42,23,35.23,23,59,27,-,-,18,"5,806",454
Lesotho,82,55,878,6,60,8.81,61,67,40,63,26,59,"2,337",263
Liberia,84,53,800,17,72,7.25,55,67,68,73,52,73,"5,613",782
Libya,66,16,7330,10,34,52.33,-,29,-,-,-,31,"7,381",632
Liechtenstein,,-,187267,63,,99.48,-,-,-,-,-,-,40,2
Lithuania,,3,27103,92,58,78.24,-,-,-,-,-,3,"2,859",122
Luxembourg,97,2,128259,75,58,98.96,-,-,-,-,-,2,673,35
Madagascar,60,44,529,7,69,3.11,54,66,73,79,81,65,"31,965","4,656"
Malawi,51,29,673,8,63,6.22,64,60,83,88,67,38,"21,655","3,130"
Malaysia,98,7,11649,69,56,62.18,40,64,51,-,-,8,"35,558","2,223"
Maldives,82,5,12667,28,42,64.25,63,67,73,79,59,6,528,30
Mali,51,58,897,3,42,9.33,40,46,76,79,69,91,"24,479","4,248"
Malta,,5,37882,55,57,86.01,-,-,-,-,-,5,540,22
Marshall Islands,77,24,6763,47,28,48.7,43,61,36,25,-,28,38,4
Mauritania,39,31,2149,3,28,23.32,41,56,67,74,65,38,"5,169",814
Mauritius,,14,11417,46,45,61.66,-,-,-,-,-,15,"1,271",60
Mexico,94,11,13926,37,46,66.84,35,63,39,52,16,12,"130,861","10,221"
Federated States of Micronesia,,21,3992,59,,36.79,-,-,-,-,-,23,113,12
Monaco,,2,240862,88,,100,-,-,-,-,-,3,39,2
Mongolia,94,11,5765,82,53,44.04,51,72,64,65,51,14,"3,476",341
Montenegro,94,2,12017,55,46,62.69,20,45,22,55,20,3,638,37
Montserrat,,6,,,,,-,-,-,-,-,6,4,0
Morocco,54,15,3672,,22,32.64,35,43,35,45,19,17,"38,081","3,146"
Mozambique,49,45,608,12,77,4.15,56,77,68,80,41,62,"34,632","5,785"
Myanmar,59,34,1188,59,46,12.44,51,67,79,84,66,39,"54,500","4,399"
Namibia,63,38,4743,32,56,40.41,48,71,47,55,27,41,"3,030",406
Nauru,51,8,12060,33,,63.21,53,70,60,-,-,9,12,1
Nepal,81,23,1324,10,82,14.51,56,55,94,96,94,26,"29,651","2,763"
Netherlands (Kingdom of the),,3,62537,72,64,93.78,-,-,-,-,-,4,"18,229",892
New Zealand,,4,48528,75,65,88.08,-,-,-,-,-,5,"5,214",298
Nicaragua,88,11,2530,,50,27.98,32,54,53,64,28,13,"6,916",655
Niger,37,67,618,2,73,4.66,25,71,79,85,71,115,"27,032","4,783"
Nigeria,52,60,1621,60,77,17.62,29,36,58,74,37,105,"232,679","33,829"
Niue,,23,,,,,-,-,-,-,-,24,2,0
Macedonia,96,3,8146,64,44,54.92,28,10,30,37,33,3,"1,823",91
Norway,,2,87962,78,62,97.41,-,-,-,-,-,2,"5,577",275
Oman,74,8,23295,72,36,77.2,23,82,-,-,-,10,"5,282",427
Pakistan,52,50,1407,20,25,15.54,48,20,63,67,60,58,"251,269","31,988"
Palau,81,19,14565,90,,67.88,-,-,-,-,-,22,18,1
Panama,88,11,18662,53,50,71.5,22,55,41,57,18,13,"4,516",356
Papua New Guinea,49,32,2994,6,51,29.53,60,55,79,79,64,40,"10,577","1,233"
Paraguay,81,15,6260,47,59,47.15,30,50,33,41,43,17,"6,929",676
Peru,95,14,7790,52,65,52.85,70,48,72,69,73,16,"34,218","2,685"
Philippines,83,22,3726,36,50,34.2,41,54,57,69,41,27,"115,844","9,174"
Poland,,4,22113,87,52,73.58,-,-,-,-,-,4,"38,539","1,682"
Portugal,,3,27275,50,56,78.76,-,-,-,-,-,3,"10,425",426
Qatar,85,5,87480,75,57,96.89,45,61,53,-,-,6,"3,048",155
South Korea,97,2,33121,74,56,82.9,-,-,-,-,-,3,"51,718","1,283"
Moldova,95,13,6651,74,71,48.19,36,61,27,44,22,15,"3,035",170
Romania,70,5,18419,68,42,70.98,16,58,-,-,-,7,"19,015",930
Russia,,4,13817,92,56,66.32,-,25,-,-,-,4,"144,820","6,904"
Rwanda,47,30,1000,12,58,10.36,81,85,90,95,81,40,"14,257","1,894"
Saint Kitts and Nevis,,14,22553,,,74.61,-,-,-,-,-,16,47,3
Saint Lucia,90,14,13980,44,69,67.36,4,50,29,-,-,16,180,10
Saint Vincent and the Grenadines,100,10,10279,,57,59.59,-,-,-,-,-,11,101,6
Samoa,70,13,4139,43,31,37.31,52,53,50,58,36,16,218,28
San Marino,,1,54982,58,,92.23,-,-,-,-,-,1,34,1
Sao Tome and Principe,84,9,2602,32,42,28.5,63,36,46,51,39,14,236,31
Saudi Arabia,80,5,28895,59,22,79.27,-,-,-,-,-,6,"33,963","2,648"
Senegal,68,30,1746,5,38,20.21,34,38,73,76,72,39,"18,502","2,494"
Serbia,97,4,11361,71,52,61.14,24,8,16,28,18,5,"6,736",309
Seychelles,,13,17879,44,,69.95,-,-,-,-,-,14,130,9
Sierra Leone,79,56,433,7,58,2.07,51,88,54,67,51,94,"8,642","1,173"
Singapore,,2,84734,81,62,96.37,-,-,-,-,-,2,"5,832",232
Slovakia,,5,24470,87,56,77.72,-,-,-,-,-,6,"5,507",274
Slovenia,,2,32164,83,54,81.87,-,-,-,-,-,2,"2,119",94
Solomon Islands,69,17,2203,,82,23.83,76,79,71,-,-,21,819,105
Somalia,24,68,644,4,22,5.18,34,60,45,61,23,104,"19,009","3,500"
South Africa,76,24,6253,42,49,46.63,32,67,34,47,25,35,"64,007","5,907"
South Sudan,31,73,1072,11,71,11.92,45,51,62,67,58,99,"11,943","1,544"
Spain,,3,32677,56,53,82.38,-,-,-,-,-,3,"47,911","1,728"
Sri Lanka,93,5,3828,65,32,35.75,81,91,90,90,81,6,"23,104","1,621"
Palestine,95,14,3368,49,19,31.09,39,41,29,29,28,26,"5,495",716
Sudan,51,39,2272,1,14,24.87,55,69,73,72,74,50,"50,449","7,639"
Suriname,68,15,6069,26,39,46.11,9,52,23,27,21,16,634,53
Sweden,,2,56305,85,64,92.75,-,-,-,-,-,2,"10,607",548
Switzerland,,3,99995,81,63,97.93,-,-,-,-,-,4,"8,922",431
Syria,64,19,421,19,15,1.55,29,36,45,57,42,21,"24,673","2,455"
Tajikistan,62,23,1189,76,29,12.95,41,41,55,56,53,27,"10,591","1,331"
Thailand,88,8,7172,39,61,51.3,29,29,24,30,17,9,"71,668","3,031"
East Timor,83,36,1649,38,41,18.13,65,47,49,61,44,50,"1,401",152
Togo,55,36,1013,6,69,10.88,64,48,80,90,73,58,"9,515","1,357"
Tokelau,,-,,,,,-,-,-,-,-,-,3,0
Tonga,89,8,4682,70,51,39.9,40,39,35,47,16,10,104,12
Trinidad and Tobago,94,17,18333,54,50,70.47,31,48,42,51,43,19,"1,508",83
Tunisia,79,11,3895,30,27,36.27,18,34,38,49,37,13,"12,277",867
Turkey,90,9,12986,34,34,64.77,41,71,53,-,-,13,"87,474","5,530"
Turkmenistan,98,31,9191,25,44,58.03,57,93,45,49,38,40,"7,494",793
Turks and Caicos Islands,93,4,30438,75,,81.35,-,49,16,-,-,6,47,3
Tuvalu,60,17,5465,40,,43.01,44,39,29,-,-,20,10,1
Uganda,68,28,1014,32,75,11.4,66,82,63,77,53,39,"50,015","8,067"
Ukraine,87,8,5181,71,48,41.45,20,66,31,31,30,8,"37,860","1,261"
United Arab Emirates,,4,52977,72,52,90.16,-,23,-,-,-,5,"11,027",581
United Kingdom,,4,48867,81,58,88.6,-,-,-,-,-,4,"69,138","3,548"
Tanzania,65,30,1211,2,76,13.47,64,70,72,75,70,39,"68,560","11,020"
United States of America,97,5,81695,95,57,95.85,26,-,12,-,-,6,"345,427","18,549"
Uruguay,98,6,22565,38,57,75.13,51,66,58,-,-,7,"3,387",170
Uzbekistan,90,13,2496,96,40,26.42,25,40,65,64,62,13,"36,362","4,451"
Vanuatu,65,14,3367,18,38,30.57,76,59,55,56,44,17,328,44
Venezuela,84,21,,61,42,,7,-,-,-,-,24,"28,406","2,089"
Vietnam,88,14,4347,38,68,38.34,45,24,44,44,43,20,"100,988","7,058"
Yemen,32,35,533,8,6,3.63,10,53,63,73,56,39,"40,583","6,443"
Zambia,82,31,1369,30,54,15.03,64,68,63,74,51,45,"21,315","3,204"
Zimbabwe,72,41,1592,61,62,17.1,42,67,50,61,33,44,"16,634","2,333"
